Date,Open,High,Low,Close,Volume
01/12/2022,"133.50","133.50","131.70","132.25","367,401"
01/11/2022,"130.60","132.45","130.00","131.25","1,589,421"
01/10/2022,"130.70","130.85","129.30","130.20","1,204,636"
01/07/2022,"130.70","131.55","129.00","129.30","1,871,602"
01/06/2022,"133.00","133.30","129.65","130.10","1,962,395"
01/05/2022,"137.55","138.00","133.25","133.95","1,323,502"
01/04/2022,"141.35","141.50","137.65","138.35","783,628"
01/03/2022,"139.60","142.40","138.25","141.35","2,126,226"
12/31/2021,"133.95","138.30","133.55","137.45","626,857"
12/30/2021,"137.00","137.00","133.50","133.85","682,161"
12/29/2021,"132.90","137.70","131.60","137.10","826,359"
12/28/2021,"133.95","134.00","131.75","132.80","602,830"
12/27/2021,"131.30","133.80","128.00","132.70","1,237,776"
12/24/2021,"134.70","134.70","129.50","131.45","1,291,658"
12/23/2021,"140.40","140.55","132.15","133.00","1,127,961"
12/22/2021,"132.20","139.70","132.20","138.50","1,431,111"
12/21/2021,"130.10","132.80","128.00","131.60","1,739,491"
12/20/2021,"134.70","135.90","124.70","126.65","2,789,963"
12/17/2021,"138.85","140.80","132.35","135.55","2,236,438"
12/16/2021,"141.80","143.00","137.25","138.45","1,229,667"
12/15/2021,"140.65","142.05","140.05","140.60","983,577"
12/14/2021,"144.70","144.95","140.05","140.65","1,073,340"
12/13/2021,"142.50","144.35","141.70","142.55","1,710,070"
12/10/2021,"145.00","145.90","139.80","140.55","1,594,503"
12/09/2021,"148.85","148.85","145.35","146.25","1,493,855"
